biosample_name,assay_name,bios_accession,exp_accession,file_accession,assembly,read_length,run_type,sequencing_platform,lab,depth
layer_of_hippocampus_nonrep,H3K9me3,ENCBS769ZVS,ENCSR431FZZ,ENCFF648FWV,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",29413805.0
layer_of_hippocampus_nonrep,H3K4me1,ENCBS769ZVS,ENCSR638HSG,ENCFF773KBK,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",31189033.0
layer_of_hippocampus_nonrep,H3K36me3,ENCBS769ZVS,ENCSR286VMZ,ENCFF276IZZ,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",31856643.0
"CD8_positive,_alpha_beta_memory_T_cell_grp1_rep1",H3K36me3,ENCBS771DYQ,ENCSR944RKI,ENCFF849VHN,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",28477915.0
"CD8_positive,_alpha_beta_memory_T_cell_grp1_rep1",H3K9me3,ENCBS771DYQ,ENCSR043SJS,ENCFF150WVO,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",22572769.0
"CD8_positive,_alpha_beta_memory_T_cell_grp1_rep1",H3K4me1,ENCBS771DYQ,ENCSR372MTE,ENCFF132DON,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",17501604.0
"CD8_positive,_alpha_beta_memory_T_cell_grp1_rep1",H3K4me3,ENCBS771DYQ,ENCSR962AKF,ENCFF587PBV,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",30432164.0
"CD8_positive,_alpha_beta_memory_T_cell_grp1_rep1",H3K27me3,ENCBS771DYQ,ENCSR517SMA,ENCFF605OJE,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",25557018.0
germinal_matrix_nonrep,H3K9me3,ENCBS035DRR,ENCSR820ABR,ENCFF337WEP,GRCh38,75.0,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",12948767.0
germinal_matrix_nonrep,H3K4me1,ENCBS035DRR,ENCSR064VLH,ENCFF841KGA,GRCh38,75.0,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",25806090.0
germinal_matrix_nonrep,H3K4me3,ENCBS035DRR,ENCSR575ICR,ENCFF859CZR,GRCh38,75.0,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",22170147.0
germinal_matrix_nonrep,H3K27me3,ENCBS035DRR,ENCSR494OXB,ENCFF004HOF,GRCh38,75.0,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",17625984.0
germinal_matrix_nonrep,H3K36me3,ENCBS035DRR,ENCSR717BNA,ENCFF145EJX,GRCh38,75.0,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",23215484.0
DND_41_grp1_rep2,H2AFZ,ENCBS688JZQ,ENCSR000AQV,ENCFF255SZS,GRCh38,36.0,single-ended,Illumina Genome Analyzer,"Bradley Bernstein, Broad",14416128.0
DND_41_grp1_rep2,EZH2,ENCBS688JZQ,ENCSR000ASW,ENCFF249IAI,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",15021534.0
DND_41_grp1_rep2,H3K4me2,ENCBS688JZQ,ENCSR000AQZ,ENCFF585ZDW,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",4994626.0
DND_41_grp1_rep2,H3K27ac,ENCBS688JZQ,ENCSR000AQW,ENCFF901HOL,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",35296722.0
DND_41_grp1_rep2,H3K27me3,ENCBS688JZQ,ENCSR000ASX,ENCFF200ECC,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",16151948.0
DND_41_grp1_rep2,H3K4me3,ENCBS688JZQ,ENCSR564VIX,ENCFF828EDK,GRCh38,36.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",29976623.0
DND_41_grp1_rep2,H3K9me3,ENCBS688JZQ,ENCSR000ARZ,ENCFF030PGK,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",10570682.0
DND_41_grp1_rep2,H4K20me1,ENCBS688JZQ,ENCSR000ARC,ENCFF554ZKZ,GRCh38,36.0,single-ended,Illumina Genome Analyzer,"Bradley Bernstein, Broad",15697325.0
DND_41_grp1_rep2,H3K79me2,ENCBS688JZQ,ENCSR000ARB,ENCFF015TDF,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",18089816.0
DND_41_grp1_rep2,CTCF,ENCBS688JZQ,ENCSR000AQU,ENCFF763BVS,GRCh38,36.0,single-ended,Illumina Genome Analyzer,"Bradley Bernstein, Broad",3651903.0
DND_41_grp1_rep2,H3K4me1,ENCBS688JZQ,ENCSR000AQY,ENCFF192WKN,GRCh38,36.0,single-ended,Illumina Genome Analyzer,"Bradley Bernstein, Broad",17894720.0
DND_41_grp1_rep2,H3K36me3,ENCBS688JZQ,ENCSR000AQX,ENCFF973TDF,GRCh38,36.0,single-ended,Illumina Genome Analyzer,"Bradley Bernstein, Broad",17377843.0
DND_41_grp1_rep2,H3K9ac,ENCBS688JZQ,ENCSR000ARY,ENCFF703ZGI,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",18788820.0
skeletal_muscle_satellite_cell_grp1_rep1,H3K9me3,ENCBS801AYF,ENCSR525XER,ENCFF069VOA,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",17856733.0
skeletal_muscle_satellite_cell_grp1_rep1,H3K4me1,ENCBS314QQU,ENCSR023MFG,ENCFF872JEB,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",22750427.0
skeletal_muscle_satellite_cell_grp1_rep1,H3K9ac,ENCBS314QQU,ENCSR100HGO,ENCFF408ZJQ,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",17684228.0
skeletal_muscle_satellite_cell_grp1_rep1,H3K4me3,ENCBS314QQU,ENCSR819HSS,ENCFF884OUJ,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",21570366.0
skeletal_muscle_satellite_cell_grp1_rep1,H3K4me2,ENCBS801AYF,ENCSR002EZN,ENCFF360MYL,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",19998048.0
skeletal_muscle_satellite_cell_grp1_rep1,H3K27me3,ENCBS314QQU,ENCSR312CKN,ENCFF745QMB,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",24065996.0
skeletal_muscle_satellite_cell_grp1_rep1,H3K36me3,ENCBS801AYF,ENCSR995UTR,ENCFF848RPX,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",20439681.0
myoepithelial_cell_of_mammary_gland_nonrep,H3K36me3,ENCBS093HNZ,ENCSR160CPS,ENCFF471JZC,GRCh38,75.0,single-ended,Illumina Genome Analyzer IIx,"Joseph Costello, UCSF",19954096.0
myoepithelial_cell_of_mammary_gland_nonrep,H3K9me3,ENCBS093HNZ,ENCSR241PXI,ENCFF090FEH,GRCh38,76.0,single-ended,Illumina Genome Analyzer IIx,"Joseph Costello, UCSF",10852362.0
myoepithelial_cell_of_mammary_gland_nonrep,H3K4me1,ENCBS093HNZ,ENCSR813ULW,ENCFF466ITQ,GRCh38,76.0,single-ended,Illumina Genome Analyzer IIx,"Joseph Costello, UCSF",19157439.0
myoepithelial_cell_of_mammary_gland_nonrep,H3K9ac,ENCBS093HNZ,ENCSR365DWX,ENCFF775DRA,GRCh38,76.0,single-ended,Illumina Genome Analyzer IIx,"Joseph Costello, UCSF",9209029.0
myoepithelial_cell_of_mammary_gland_nonrep,H3K4me3,ENCBS093HNZ,ENCSR287YDU,ENCFF359ANK,GRCh38,75.0,single-ended,Illumina Genome Analyzer IIx,"Joseph Costello, UCSF",11428000.0
myoepithelial_cell_of_mammary_gland_nonrep,H3K27me3,ENCBS093HNZ,ENCSR517CFV,ENCFF054CBD,GRCh38,76.0,single-ended,Illumina Genome Analyzer IIx,"Joseph Costello, UCSF",17036820.0
kidney_epithelial_cell_nonrep,H3K4me3,ENCBS050EYT,ENCSR000DVG,ENCFF925WTZ,GRCh38,36.0,single-ended,Illumina Genome Analyzer,"John Stamatoyannopoulos, UW",12071460.0
kidney_epithelial_cell_nonrep,H3K36me3,ENCBS347OJM,ENCSR000DVE,ENCFF698PFM,GRCh38,36.0,single-ended,Illumina Genome Analyzer,"John Stamatoyannopoulos, UW",13714020.0
kidney_epithelial_cell_nonrep,CTCF,ENCBS050EYT,ENCSR000DVH,ENCFF399UQM,GRCh38,36.0,single-ended,Illumina Genome Analyzer II,"John Stamatoyannopoulos, UW",5844639.0
kidney_epithelial_cell_nonrep,DNase-seq,ENCBS056ENC,ENCSR000EOL,ENCFF778EVH,GRCh38,36.0,single-ended,Illumina Genome Analyzer II,"John Stamatoyannopoulos, UW",22652953.0
muscle_layer_of_duodenum_nonrep,H3K27me3,ENCBS377BEU,ENCSR929AXP,ENCFF034MOI,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",34841817.0
muscle_layer_of_duodenum_nonrep,H3K4me3,ENCBS377BEU,ENCSR264APD,ENCFF977BOH,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",30352485.0
muscle_layer_of_duodenum_nonrep,H3K9me3,ENCBS377BEU,ENCSR057XPL,ENCFF008TDJ,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",25631508.0
muscle_layer_of_duodenum_nonrep,H3K4me1,ENCBS377BEU,ENCSR628CTX,ENCFF587QOH,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",29829895.0
muscle_layer_of_duodenum_nonrep,H3K36me3,ENCBS377BEU,ENCSR297YOC,ENCFF904XUR,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",27778790.0
parathyroid_adenoma_nonrep,H2AFZ,ENCBS785UMH,ENCSR256KRN,ENCFF637ZZR,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",41720473.0
parathyroid_adenoma_nonrep,H3K79me2,ENCBS785UMH,ENCSR619AAK,ENCFF712HJF,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",20792478.0
parathyroid_adenoma_nonrep,H3K9ac,ENCBS785UMH,ENCSR492DBQ,ENCFF926TKH,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",63413475.0
parathyroid_adenoma_nonrep,H3K27ac,ENCBS785UMH,ENCSR735SLW,ENCFF354VDL,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",61595195.0
parathyroid_adenoma_nonrep,H3K4me1,ENCBS785UMH,ENCSR434NUA,ENCFF715GKG,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",64964589.0
parathyroid_adenoma_nonrep,CTCF,ENCBS785UMH,ENCSR780OZE,ENCFF475EQL,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",40717196.0
dorsolateral_prefrontal_cortex_grp1_rep1,H3K4me3,ENCBS227KZL,ENCSR981TFL,ENCFF979WHQ,GRCh38,76.0,single-ended,Illumina NextSeq 500,"Bradley Bernstein, Broad",30388275.0
dorsolateral_prefrontal_cortex_grp1_rep1,H3K27me3,ENCBS227KZL,ENCSR852AYS,ENCFF094OZJ,GRCh38,76.0,single-ended,Illumina NextSeq 500,"Bradley Bernstein, Broad",52864592.0
dorsolateral_prefrontal_cortex_grp1_rep1,H3K27ac,ENCBS227KZL,ENCSR138TQF,ENCFF384PJA,GRCh38,76.0,single-ended,Illumina NextSeq 500,"Bradley Bernstein, Broad",28032620.0
dorsolateral_prefrontal_cortex_grp1_rep1,CTCF,ENCBS227KZL,ENCSR705DNM,ENCFF291TEI,GRCh38,76.0,single-ended,Illumina NextSeq 500,"Bradley Bernstein, Broad",29203600.0
"CD4_positive,_alpha_beta_memory_T_cell_grp2_rep2",H3K9me3,ENCBS988EOC,ENCSR117IQD,ENCFF068OAM,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",15856024.0
"CD4_positive,_alpha_beta_memory_T_cell_grp2_rep2",H3K4me3,ENCBS988EOC,ENCSR457FQI,ENCFF972TLQ,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",12794830.0
"CD4_positive,_alpha_beta_memory_T_cell_grp2_rep2",H3K27me3,ENCBS988EOC,ENCSR012KUR,ENCFF504RQX,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",18191005.0
"CD4_positive,_alpha_beta_memory_T_cell_grp2_rep2",H3K36me3,ENCBS988EOC,ENCSR805DRK,ENCFF264TDI,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",18013000.0
"CD4_positive,_alpha_beta_memory_T_cell_grp2_rep2",H3K4me1,ENCBS988EOC,ENCSR660WQO,ENCFF456XAP,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",9512056.0
smooth_muscle_cell_grp1_rep2,H2AFZ,ENCBS899TTJ,ENCSR301VIW,ENCFF093KSG,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",76829898.0
smooth_muscle_cell_grp1_rep2,H3K4me2,ENCBS899TTJ,ENCSR783AXV,ENCFF246RZC,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",45196401.0
smooth_muscle_cell_grp1_rep2,H3K27ac,ENCBS899TTJ,ENCSR210ZPC,ENCFF141CAY,GRCh38,74.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",53593227.0
smooth_muscle_cell_grp1_rep2,H3K27me3,ENCBS899TTJ,ENCSR143RMH,ENCFF198YOB,GRCh38,74.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",52970635.0
smooth_muscle_cell_grp1_rep2,H3K4me3,ENCBS899TTJ,ENCSR515PKY,ENCFF661UTE,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",35043923.0
smooth_muscle_cell_grp1_rep2,RNA-seq,ENCBS899TTJ,ENCSR052FJA,ENCFF072KOK,GRCh38,,single-ended,Illumina HiSeq 2000,"Thomas Gingeras, CSHL",
smooth_muscle_cell_grp1_rep2,H3K9me3,ENCBS899TTJ,ENCSR090QTV,ENCFF318DQZ,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",33748594.0
smooth_muscle_cell_grp1_rep2,H4K20me1,ENCBS899TTJ,ENCSR189XIE,ENCFF855ICD,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",50003152.0
smooth_muscle_cell_grp1_rep2,H3K79me2,ENCBS899TTJ,ENCSR493FIV,ENCFF711IGF,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",41565598.0
smooth_muscle_cell_grp1_rep2,CTCF,ENCBS899TTJ,ENCSR261VAS,ENCFF894KFK,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",9274376.0
smooth_muscle_cell_grp1_rep2,H3K4me1,ENCBS899TTJ,ENCSR130IMV,ENCFF067CZR,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",41738842.0
smooth_muscle_cell_grp1_rep2,H3F3A,ENCBS899TTJ,ENCSR672HBY,ENCFF091VEA,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",46759136.0
smooth_muscle_cell_grp1_rep2,H3K36me3,ENCBS899TTJ,ENCSR651JDA,ENCFF952CQG,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",66965975.0
smooth_muscle_cell_grp1_rep2,H3K9ac,ENCBS899TTJ,ENCSR540UZV,ENCFF878FYR,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",33135270.0
skeletal_muscle_satellite_cell_grp1_rep3,H3K36me3,ENCBS801AYF,ENCSR995UTR,ENCFF848RPX,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",20439681.0
skeletal_muscle_satellite_cell_grp1_rep3,H3K9me3,ENCBS801AYF,ENCSR525XER,ENCFF069VOA,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",17856733.0
skeletal_muscle_satellite_cell_grp1_rep3,H3K4me1,ENCBS801AYF,ENCSR023MFG,ENCFF360DXS,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",18064031.0
skeletal_muscle_satellite_cell_grp1_rep3,H3K4me2,ENCBS801AYF,ENCSR002EZN,ENCFF360MYL,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",19998048.0
skeletal_muscle_satellite_cell_grp1_rep3,H3K9ac,ENCBS706NOO,ENCSR100HGO,ENCFF471CUZ,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",18408935.0
skeletal_muscle_satellite_cell_grp1_rep3,H3K4me3,ENCBS706NOO,ENCSR819HSS,ENCFF313RJJ,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",26410258.0
skeletal_muscle_satellite_cell_grp1_rep3,H3K27me3,ENCBS706NOO,ENCSR312CKN,ENCFF832XRR,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",28486989.0
Loucy_grp1_rep1,H3K9me3,ENCBS080PZG,ENCSR884QDT,ENCFF643SQV,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",21795370.0
Loucy_grp1_rep1,CTCF,ENCBS080PZG,ENCSR464DKE,ENCFF538TLO,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",27946439.0
Loucy_grp1_rep1,H3K79me2,ENCBS080PZG,ENCSR429QYS,ENCFF386STB,GRCh38,36.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",26686709.0
Loucy_grp1_rep1,H3K27me3,ENCBS080PZG,ENCSR183CQK,ENCFF150GJT,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",16996921.0
Loucy_grp1_rep1,H3K36me3,ENCBS080PZG,ENCSR837SUQ,ENCFF765KXV,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",25685365.0
fibroblast_of_breast_nonrep,H3K36me3,ENCBS712EMA,ENCSR347HBG,ENCFF203JSH,GRCh38,75.0,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",36000697.0
fibroblast_of_breast_nonrep,H3K4me1,ENCBS712EMA,ENCSR912IDH,ENCFF604GIP,GRCh38,75.0,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",27890532.0
fibroblast_of_breast_nonrep,H3K27ac,ENCBS712EMA,ENCSR953ULK,ENCFF088UTX,GRCh38,75.0,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",34283407.0
fibroblast_of_breast_nonrep,H3K4me3,ENCBS712EMA,ENCSR902QIJ,ENCFF993GKS,GRCh38,75.0,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",16486997.0
fibroblast_of_breast_nonrep,H3K27me3,ENCBS712EMA,ENCSR136VLK,ENCFF096LEC,GRCh38,75.0,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",30404448.0
foreskin_keratinocyte_grp1_rep2,H3K4me1,ENCBS666IIR,ENCSR487KVV,ENCFF092BYF,GRCh38,101.0,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",58968894.0
foreskin_keratinocyte_grp1_rep2,H3K27ac,ENCBS666IIR,ENCSR736ZEG,ENCFF945QTM,GRCh38,101.0,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",46580940.0
foreskin_keratinocyte_grp1_rep2,ATAC-seq,ENCBS666IIR,ENCSR356KRQ,ENCFF385QAZ,GRCh38,76.0,paired-ended,Illumina HiSeq 4000,"Will Greenleaf, Stanford",142220836.0
foreskin_keratinocyte_grp1_rep2,CTCF,ENCBS666IIR,ENCSR817HTJ,ENCFF945DFN,GRCh38,101.0,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",52468138.0
foreskin_keratinocyte_grp1_rep2,H3K27me3,ENCBS666IIR,ENCSR621FNM,ENCFF647QIT,GRCh38,101.0,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",107731588.0
foreskin_keratinocyte_grp1_rep2,RNA-seq,ENCBS666IIR,ENCSR034RPU,ENCFF662VMK,GRCh38,,single-ended,Illumina HiSeq 2000,"Michael Snyder, Stanford",
subcutaneous_abdominal_adipose_tissue_nonrep,H3K9me3,ENCBS183BZR,ENCSR286WUR,ENCFF435WLR,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",31787330.0
subcutaneous_abdominal_adipose_tissue_nonrep,H3K4me1,ENCBS183BZR,ENCSR664RRY,ENCFF469NMN,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",29893781.0
subcutaneous_abdominal_adipose_tissue_nonrep,H3K9ac,ENCBS183BZR,ENCSR243UVC,ENCFF270LRA,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",28750588.0
subcutaneous_abdominal_adipose_tissue_nonrep,H3K4me3,ENCBS183BZR,ENCSR605NNZ,ENCFF088EVS,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",24324896.0
subcutaneous_abdominal_adipose_tissue_nonrep,H3K27me3,ENCBS183BZR,ENCSR731XOV,ENCFF161HRR,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",46772741.0
subcutaneous_abdominal_adipose_tissue_nonrep,H3K36me3,ENCBS183BZR,ENCSR989POD,ENCFF272VFH,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",32390652.0
OCI_LY1_grp1_rep1,H2AFZ,ENCBS729LWO,ENCSR874HSH,ENCFF399RGS,GRCh38,36.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",60324529.0
OCI_LY1_grp1_rep1,H3K9me3,ENCBS729LWO,ENCSR189AGR,ENCFF377ZZA,GRCh38,36.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",48222572.0
OCI_LY1_grp1_rep1,H3K9me2,ENCBS729LWO,ENCSR768JED,ENCFF539XDZ,GRCh38,36.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",38502062.0
OCI_LY1_grp1_rep1,H3F3A,ENCBS729LWO,ENCSR678AFU,ENCFF095TUA,GRCh38,36.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",22256188.0
OCI_LY1_grp1_rep1,H4K20me1,ENCBS729LWO,ENCSR960ZMM,ENCFF895XIX,GRCh38,36.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",26687890.0
neural_cell_grp1_rep1,H2AFZ,ENCBS504GFW,ENCSR816JBG,ENCFF916BCJ,GRCh38,36.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",33057849.0
neural_cell_grp1_rep1,EZH2,ENCBS504GFW,ENCSR511CUH,ENCFF360CIR,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",25244102.0
neural_cell_grp1_rep1,H3K4me2,ENCBS504GFW,ENCSR045HLL,ENCFF207QNC,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",66933843.0
neural_cell_grp1_rep1,H3K27ac,ENCBS504GFW,ENCSR124VOE,ENCFF029BNI,GRCh38,36.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",32346717.0
neural_cell_grp1_rep1,H3K27me3,ENCBS504GFW,ENCSR654VRX,ENCFF016DHU,GRCh38,36.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",28305644.0
neural_cell_grp1_rep1,H3K4me3,ENCBS504GFW,ENCSR608VNA,ENCFF706AWP,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",68489387.0
neural_cell_grp1_rep1,H3K9me3,ENCBS504GFW,ENCSR405NQJ,ENCFF480KWV,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",38641970.0
neural_cell_grp1_rep1,H4K20me1,ENCBS504GFW,ENCSR958ZMM,ENCFF682KHR,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",22919234.0
neural_cell_grp1_rep1,H3K79me2,ENCBS504GFW,ENCSR076NBJ,ENCFF391MTN,GRCh38,36.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",46767489.0
neural_cell_grp1_rep1,H3F3A,ENCBS504GFW,ENCSR873EIA,ENCFF073IRJ,GRCh38,36.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",16059050.0
neural_cell_grp1_rep1,H3K36me3,ENCBS504GFW,ENCSR714KGG,ENCFF393DAE,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",30379674.0
neural_cell_grp1_rep1,H3K9me2,ENCBS504GFW,ENCSR397HSO,ENCFF956TQD,GRCh38,36.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",51623555.0
neural_cell_grp1_rep1,H3K9ac,ENCBS504GFW,ENCSR531QHM,ENCFF728QLA,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",27644564.0
MCF_7_grp1_rep2,H3K9me3,ENCBS967MVZ,ENCSR999WHE,ENCFF923NDP,GRCh38,36.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",23292029.0
MCF_7_grp1_rep2,H3K4me1,ENCBS967MVZ,ENCSR493NBY,ENCFF748ISL,GRCh38,36.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",48891705.0
MCF_7_grp1_rep2,CTCF,ENCBS967MVZ,ENCSR560BUE,ENCFF980OVL,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",17300827.0
MCF_7_grp1_rep2,H3K9me2,ENCBS967MVZ,ENCSR374RZR,ENCFF418SFP,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",15127061.0
MCF_7_grp1_rep2,H2AFZ,ENCBS967MVZ,ENCSR057MWG,ENCFF687JRM,GRCh38,36.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",35357554.0
MCF_7_grp1_rep2,H4K20me1,ENCBS967MVZ,ENCSR639RHG,ENCFF741HOA,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",15756083.0
MCF_7_grp1_rep2,H3K27ac,ENCBS967MVZ,ENCSR752UOD,ENCFF391BOB,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",21792936.0
