,Accession,Age,Age units,Biosample age,Biosample classification,Biosample term name,Biosample treatment,Biosample treatment purpose,Biosample treatment type details,Child biosamples,Culture harvest date,Date obtained,Description,ID,Lab,Life stage,Modification category,Modification method,Modification purpose,Modification site,Modification site introduced gene organism,Modification site target organism,Organism,Post-synchronization time,Post-synchronization time units,Source,Status,Summary,Synchronization,isogenic_replicates
187,ENCBS057ENC,unknown,,,cell line,GM06990,,,,,,,"B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah, treatment: Epstein-Barr Virus transformed",/biosamples/ENCBS057ENC/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens GM06990 cell line,,ENCBS414HDG
188,ENCBS057LKL,53,year,53 years,cell line,GM23338,,,,,,,,/biosamples/ENCBS057LKL/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,George Church,released,Homo sapiens GM23338 cell line,,"ENCBS994YIB,ENCBS247UHY"
189,ENCBS059BTM,61,year,61 years,tissue,heart right ventricle,,,,,,2018-09-18,,/biosamples/ENCBS059BTM/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,Shin Lin,released,Homo sapiens male adult (61 years) heart right ventricle tissue,,
190,ENCBS059VNF,unknown,,,cell line,GM19372,,,,,2016-12-16,,"GM19372 LCLs; Donor from the Luhya in Webuye, Kenya (LWK)",/biosamples/ENCBS059VNF/,"Stephen Montgomery, Stanford",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens GM19372 cell line,,
191,ENCBS062HXL,unknown,,,cell line,GM21619,,,,,2017-01-13,,"GM21619 LCLs; Donor from the Maasai in Kinyawa, Kenya (MKK)",/biosamples/ENCBS062HXL/,"Stephen Montgomery, Stanford",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens GM21619 cell line,,
192,ENCBS062ILC,33,year,33 years,cell line,M059J,,,,,,,,/biosamples/ENCBS062ILC/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens M059J cell line,,ENCBS235AAA
193,ENCBS062JBT,3,month,3 months,cell line,G401,,,,,,,,/biosamples/ENCBS062JBT/,"John Stamatoyannopoulos, UW",child,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens G401 cell line,,ENCBS659PBH
194,ENCBS062QTX,39,year,39 years,primary cell,"CD4-positive, alpha-beta T cell",Interleukin-4,stimulation,,,,,IL-4_4h,/biosamples/ENCBS062QTX/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Shelly Heimfeld,released,"Homo sapiens female adult (39 years) CD4-positive, alpha-beta T primary cell treated with Interleukin-4 for 4 hours",,
195,ENCBS062YRE,46,year,46 years,tissue,uterus,,,,,,2017-12-03,,/biosamples/ENCBS062YRE/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens female adult (46 years) uterus tissue, preserved by flash-freezing",,
196,ENCBS063ABX,54,year,54 years,tissue,adrenal gland,,,,,,,,/biosamples/ENCBS063ABX/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens male adult (54 years) adrenal gland tissue,,
197,ENCBS064CNC,80,day,80 days,tissue,liver,,,,,,,,/biosamples/ENCBS064CNC/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,BDRL,released,Homo sapiens embryo (80 days) liver tissue,,ENCBS150DWF
198,ENCBS064MNR,33,year,33 years,primary cell,"CD4-positive, alpha-beta T cell",,,,,,,,/biosamples/ENCBS064MNR/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens female adult (33 years) CD4-positive, alpha-beta T primary cell",,
199,ENCBS064ZNP,40,year,40 years,primary cell,T-cell,,,,,,,,/biosamples/ENCBS064ZNP/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,Homo sapiens female adult (40 years) T-cell primary cell,,
200,ENCBS065CKH,38,year,38 years,primary cell,"stimulated activated CD4-positive, alpha-beta T cell","anti-CD3 and anti-CD28 coated beads,Interleukin-12 subunit alpha,Interleukin-12 subunit beta","activation,stimulation",,,,,,/biosamples/ENCBS065CKH/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (38 years) stimulated activated CD4-positive, alpha-beta T primary cell treated with anti-CD3 and anti-CD28 coated beads for 24 hours, 100 ng/mL Interleukin-12 subunit alpha for 24 hours, 100 ng/mL Interleukin-12 subunit beta for 24 hours",,
201,ENCBS065ENC,unknown,,,primary cell,foreskin fibroblast,,,,,,,neonatal dermal fibroblasts,/biosamples/ENCBS065ENC/,"John Stamatoyannopoulos, UW",newborn,,,,,,,Homo sapiens,,,Lonza,released,Homo sapiens male newborn foreskin fibroblast primary cell,,ENCBS347RWF
202,ENCBS065HLV,87,day,87 days,tissue,spinal cord,,,,,,,"Spinal cord tissue from a healthy day 87 female fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS065HLV/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens female embryo (87 days) spinal cord tissue,,
203,ENCBS065SFO,22,year,22 years,cell line,AG10803,,,,,,,"abdominal skin fibroblasts from apparently healthy 22 year old, 8% of the cells examined showing random chromosome loss, 2% showing random chromosome gain, and 2% showing 69,XYY -Coriell",/biosamples/ENCBS065SFO/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens AG10803 cell line,,ENCBS793PDT
204,ENCBS066AJB,34,year,34 years,primary cell,"CD8-positive, alpha-beta T cell",,,,,,,Flow sorted CD8+ alpha-beta T cell from a healthy 34 year year old Caucasian female donor. Cells provided by the Shelly Heimfeld lab at FHCRC.,/biosamples/ENCBS066AJB/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Shelly Heimfeld,released,"Homo sapiens female adult (34 years) CD8-positive, alpha-beta T primary cell",,
205,ENCBS066NJO,38,year,38 years,primary cell,"stimulated activated CD4-positive, alpha-beta T cell","anti-CD3 and anti-CD28 coated beads,Interleukin-23,Interleukin-1b","activation,stimulation",,,,,,/biosamples/ENCBS066NJO/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (38 years) stimulated activated CD4-positive, alpha-beta T primary cell treated with anti-CD3 and anti-CD28 coated beads for 24 hours, 100 ng/mL Interleukin-23 for 24 hours, 100 ng/mL Interleukin-1b for 24 hours",,
206,ENCBS066OMC,90 or above,year,90 or above years,tissue,head of caudate nucleus,,,,,,,,/biosamples/ENCBS066OMC/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,"Homo sapiens female adult (90 or above years) with Cognitive impairment, Alzheimer's disease; head of caudate nucleus tissue",,
207,ENCBS066XJR,33,year,33 years,primary cell,activated T-cell,"anti-CD3 and anti-CD28 coated beads,Interleukin-2",activation,,,,,,/biosamples/ENCBS066XJR/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens female adult (33 years) activated T-cell primary cell treated with anti-CD3 and anti-CD28 coated beads for 4 hours, 50 U/mL Interleukin-2 for 4 hours",,
208,ENCBS067HEP,33,year,33 years,primary cell,T-cell,,,,,,,,/biosamples/ENCBS067HEP/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,Homo sapiens male adult (33 years) T-cell primary cell,,
209,ENCBS067UVZ,45,year,45 years,tissue,right lobe of liver,,,,,,2018-08-19,,/biosamples/ENCBS067UVZ/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens male adult (45 years) right lobe of liver tissue, preserved by flash-freezing",,
210,ENCBS068KST,unknown,,,primary cell,fibroblast of dermis,,,,,2010-05-29,,,/biosamples/ENCBS068KST/,"Bradley Bernstein, Broad",unknown,,,,,,,Homo sapiens,,,Lonza,released,Homo sapiens fibroblast of dermis primary cell,,"ENCBS311WGW,ENCBS617RCN"
211,ENCBS068SOG,60,year,60 years,tissue,left cardiac atrium,,,,,,2018-05-05,,/biosamples/ENCBS068SOG/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens male adult (60 years) left cardiac atrium tissue, preserved by cryopreservation",,
212,ENCBS069CLB,58,year,58 years,cell line,A549,,,,,2015-04-16,,,/biosamples/ENCBS069CLB/,"Tim Reddy, Duke",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens A549 cell line,,"ENCBS176HWE,ENCBS096ODB"
213,ENCBS069DAA,115,day,115 days,tissue,left kidney,,,,,,,"Left side kidney tissue from a healthy day 115 male fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS069DAA/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens male embryo (115 days) left kidney tissue,,
214,ENCBS069DBW,40,year,40 years,tissue,mucosa of descending colon,,,,,,2018-03-09,,/biosamples/ENCBS069DBW/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens male adult (40 years) mucosa of descending colon tissue, preserved by flash-freezing",,
215,ENCBS069ENC,36,year,36 years,cell line,HL-60,,,,,,,"promyelocytic leukemia cells, (PMID: 276884)",/biosamples/ENCBS069ENC/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens HL-60 cell line,,ENCBS482VCU
216,ENCBS069JPK,46,year,46 years,tissue,endocrine pancreas,,,,,,,Pancreas islet tissue from a 46 year old male Caucasian donor,/biosamples/ENCBS069JPK/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Unknown Source,released,Homo sapiens male adult (46 years) endocrine pancreas tissue,,
217,ENCBS070HZP,unknown,,,primary cell,T-helper 1 cell,,,,,,,primary Th1 T cells,/biosamples/ENCBS070HZP/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,Unknown Source,released,Homo sapiens T-helper 1 primary cell,,ENCBS345AAA
218,ENCBS070PYD,unknown,,,primary cell,T-cell,,,,,,,"Flow sorted CD3+ primary cells, from cord blood of a healthy donor. Cells provided by the Shelly Heimfeld lab at FHCRC.",/biosamples/ENCBS070PYD/,"Bradley Bernstein, Broad",unknown,,,,,,,Homo sapiens,,,Shelly Heimfeld,released,Homo sapiens T-cell primary cell,,"ENCBS501CLW,ENCBS881DKK"
219,ENCBS070SAG,33,year,33 years,primary cell,activated T-helper 1 cell,"anti-CD3 and anti-CD28 coated beads,Interleukin-2",activation,,,,,,/biosamples/ENCBS070SAG/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens female adult (33 years) activated T-helper 1 primary cell treated with anti-CD3 and anti-CD28 coated beads for 16 hours, 50 U/mL Interleukin-2 for 16 hours",,
220,ENCBS070UWK,97,day,97 days,primary cell,fibroblast of skin of left quadriceps,,,,,,,"Fetal skin fibroblasts of the left quadricep from a 97 day old healthy donor. Cells provided by Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS070UWK/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens male embryo (97 days) fibroblast of skin left quadriceps primary cell,,
221,ENCBS070WLP,unknown,,,cell line,EH,,,,,,,EH (BJ-hTert),/biosamples/ENCBS070WLP/,"John Stamatoyannopoulos, UW",newborn,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens EH cell line,,ENCBS683XYV
222,ENCBS071ENC,10,month,10 months,cell line,CMK,,,,,,,"acute megakaryocytic leukemia cells, established from the peripheral blood of a 10-month-old boy with Down's syndrome and acute megakaryocytic leukemia (AML M7) at relapse in 1985 - DSMZ. (PMID: 3016165)",/biosamples/ENCBS071ENC/,"John Stamatoyannopoulos, UW",child,,,,,,,Homo sapiens,,,DSMZ,released,Homo sapiens CMK cell line,,
223,ENCBS071FUE,53,year,53 years,tissue,esophagus muscularis mucosa,,,,,,2015-01-01,EnTEX: Esophagus - Muscularis,/biosamples/ENCBS071FUE/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens female adult (53 years) esophagus muscularis mucosa tissue,,
224,ENCBS072ENC,unknown,,,primary cell,cardiac muscle cell,,,,,,,cardiac myocytes,/biosamples/ENCBS072ENC/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,ScienCell,released,Homo sapiens cardiac muscle primary cell,,ENCBS836NVG
225,ENCBS072LNZ,90 or above,year,90 or above years,tissue,dorsolateral prefrontal cortex,,,,,,,,/biosamples/ENCBS072LNZ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (90 or above years) dorsolateral prefrontal cortex tissue,,
226,ENCBS073ENC,unknown,,,primary cell,skeletal muscle cell,,,,,,,skeletal muscle cells,/biosamples/ENCBS073ENC/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,Lonza,released,Homo sapiens skeletal muscle primary cell,,ENCBS335MXB
227,ENCBS073GVF,75,year,75 years,tissue,skin epidermis,,,,,,2018-04-06,SCC tumor tissue collected during keratinocyte carcinoma removal surgery under supervision of Maryam Asgari.,/biosamples/ENCBS073GVF/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,"Maryam M. Asgari, MD, MPH",released,Homo sapiens male adult (75 years) with squamous cell carcinoma; skin epidermis tissue,,
228,ENCBS073IDQ,unknown,,,primary cell,naive B cell,,,,,,,B naive CD3- CD14- CD19+ CD27- IgD+,/biosamples/ENCBS073IDQ/,"Bradley Bernstein, Broad",unknown,,,,,,,Homo sapiens,,,David Hafler,released,"Homo sapiens with multiple sclerosis; naive B primary cell, preserved by cryopreservation",,
229,ENCBS073UMS,50,year,50 years,primary cell,"naive thymus-derived CD4-positive, alpha-beta T cell",,,,,,,,/biosamples/ENCBS073UMS/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,StemExpress,released,"Homo sapiens male adult (50 years) naive thymus-derived CD4-positive, alpha-beta T primary cell",,ENCBS003XXD
230,ENCBS073XSW,unknown,,,cell line,GM12865,,,,,,,"B-lymphoblastoid cell line, International HapMap Project, CEPH/Utah pedigree 1459, treatment: Epstein-Barr Virus transformed",/biosamples/ENCBS073XSW/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens GM12865 cell line,,ENCBS209AAA
231,ENCBS074ENC,unknown,,,cell line,BJ,,,,,,,"skin fibroblast, The line was established from skin taken from normal foreskin. - ATCC. (PMID: 9916803)",/biosamples/ENCBS074ENC/,"John Stamatoyannopoulos, UW",newborn,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens BJ cell line,,ENCBS911DVL
232,ENCBS075FJA,90 or above,year,90 or above years,tissue,head of caudate nucleus,,,,,,,,/biosamples/ENCBS075FJA/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (90 or above years) with mild cognitive impairment; head of caudate nucleus tissue,,
233,ENCBS075JAX,103,day,103 days,tissue,large intestine,,,,,,,"Large intestine tissue from a healthy day 103 female fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS075JAX/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens female embryo (103 days) large intestine tissue,,
234,ENCBS075PNA,31,year,31 years,cell line,HeLa-S3,,,,,2008-05-21,,,/biosamples/ENCBS075PNA/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens HeLa-S3 cell line,,ENCBS655ARO
235,ENCBS076BKW,5,day,5 days,in vitro differentiated cells,osteocyte,,,,,,,,/biosamples/ENCBS076BKW/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,SESCC,released,Homo sapiens female embryo (5 days) osteocyte in vitro differentiated cells,,
236,ENCBS077RUJ,5,day,5 days,in vitro differentiated cells,hepatocyte,,,,,,,"Frozen or fixed, in vitro differentiated hepatocyte-like cells from ES WA09 (H9) by the SESCC for use by the ENCODE consortia",/biosamples/ENCBS077RUJ/,"Richard Myers, HAIB",embryonic,,,,,,,Homo sapiens,,,SESCC,released,Homo sapiens female embryo (5 days) hepatocyte in vitro differentiated cells originated from H9,,ENCBS520VFV
237,ENCBS077YKW,87,year,87 years,tissue,head of caudate nucleus,,,,,,,,/biosamples/ENCBS077YKW/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (87 years) head of caudate nucleus tissue,,
238,ENCBS078FQL,54,year,54 years,tissue,gastrocnemius medialis,,,,,,,,/biosamples/ENCBS078FQL/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens male adult (54 years) gastrocnemius medialis tissue,,
239,ENCBS078MQQ,54,year,54 years,tissue,adrenal gland,,,,,,2015-01-01,EnTEX: Adrenal Gland,/biosamples/ENCBS078MQQ/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens male adult (54 years) adrenal gland tissue,,
240,ENCBS078OEW,64,year,64 years,tissue,skin epidermis,,,,,,2018-04-06,SCC tumor tissue collected during keratinocyte carcinoma removal surgery under supervision of Maryam Asgari.,/biosamples/ENCBS078OEW/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,"Maryam M. Asgari, MD, MPH",released,Homo sapiens female adult (64 years) with squamous cell carcinoma; skin epidermis tissue,,
241,ENCBS078RTI,unknown,,,primary cell,"common myeloid progenitor, CD34-positive",,,,,,,Flow sorted CD34+ cells from cord blood of a healthy donor. Cells provided by FHCRC.,/biosamples/ENCBS078RTI/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,Shelly Heimfeld,released,"Homo sapiens male common myeloid progenitor, CD34-positive primary cell",,
242,ENCBS078XUR,108,day,108 days,tissue,left lung,,,,,,,"Fetal primary left lung tissue from a healthy day 108 female fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS078XUR/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens female embryo (108 days) left lung tissue,,
243,ENCBS079CNL,42,year,42 years,primary cell,T-cell,,,,,,,,/biosamples/ENCBS079CNL/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,Homo sapiens male adult (42 years) T-cell primary cell,,
244,ENCBS079FBY,unknown,,,cell line,GM18873,,,,,2017-01-27,,"GM18873 LCLs; Donor from the Yoruba in Ibadan, Nigeria (YRI)",/biosamples/ENCBS079FBY/,"Stephen Montgomery, Stanford",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens GM18873 cell line,,
245,ENCBS079FSC,33,year,33 years,primary cell,"stimulated activated CD4-positive, alpha-beta T cell","anti-CD3 and anti-CD28 coated beads,Interleukin-12 subunit alpha,Interleukin-12 subunit beta","activation,stimulation",,,,,,/biosamples/ENCBS079FSC/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens female adult (33 years) stimulated activated CD4-positive, alpha-beta T primary cell treated with anti-CD3 and anti-CD28 coated beads for 4 hours, 100 ng/mL Interleukin-12 subunit alpha for 4 hours, 100 ng/mL Interleukin-12 subunit beta for 4 hours",,
246,ENCBS080BPN,56,year,56 years,cell line,LoVo,,,,,,,,/biosamples/ENCBS080BPN/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens LoVo cell line,,ENCBS024NHD
247,ENCBS080DZD,61,year,61 years,tissue,upper lobe of left lung,,,,,,2018-05-29,,/biosamples/ENCBS080DZD/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens female adult (61 years) upper lobe of left lung tissue, preserved by cryopreservation",,
248,ENCBS080PZG,38,year,38 years,cell line,Loucy,,,,,2010-06-25,,Established in 1987 from the peripheral blood of a patient with T-cell acute lymphoblastic leukemia (T-ALL) obtained two months prior to her death. May be of value in evaluating the role of t(16;20) in the etiology of T-ALL.,/biosamples/ENCBS080PZG/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens Loucy cell line,,ENCBS708EFA
249,ENCBS080TMX,18,year,18 years,primary cell,T-cell,,,,,,,,/biosamples/ENCBS080TMX/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,Homo sapiens female adult (18 years) T-cell primary cell,,
250,ENCBS080VXQ,53,year,53 years,in vitro differentiated cells,endothelial cell,,,,,,,,/biosamples/ENCBS080VXQ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,Homo sapiens male adult (53 years) endothelial in vitro differentiated cells,,ENCBS280HOU
251,ENCBS080WVB,42,year,42 years,primary cell,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",,,,,,,,/biosamples/ENCBS080WVB/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (42 years) CD4-positive, CD25-positive, alpha-beta regulatory T primary cell",,
252,ENCBS080XHY,26,year,26 years,primary cell,T-cell,,,,,,,,/biosamples/ENCBS080XHY/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,Homo sapiens male adult (26 years) T-cell primary cell,,
253,ENCBS081AUS,unknown,,,cell line,H1,,,,,,,H1 (WA01) embryonic stem cells provided by Cellular Dynamics and maintained on mTeSR medium.,/biosamples/ENCBS081AUS/,"Bradley Bernstein, Broad",embryonic,,,,,,,Homo sapiens,,,Cellular Dynamics,released,Homo sapiens H1 cell line,,ENCBS428NIG
254,ENCBS081COY,90 or above,year,90 or above years,tissue,dorsolateral prefrontal cortex,,,,,,,,/biosamples/ENCBS081COY/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (90 or above years) with mild cognitive impairment; dorsolateral prefrontal cortex tissue,,
255,ENCBS082XOA,147,day,147 days,tissue,right kidney,,,,,,,"Right kidney tissue from a healthy day 147 female fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS082XOA/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens female embryo (147 days) right kidney tissue,,
256,ENCBS082XZQ,78,year,78 years,tissue,head of caudate nucleus,,,,,,,,/biosamples/ENCBS082XZQ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (78 years) head of caudate nucleus tissue,,
257,ENCBS082ZAA,5,day,5 days,in vitro differentiated cells,nephron progenitor cell,,,,,,,H9 derived nephron progenitor cell day 8,/biosamples/ENCBS082ZAA/,"Bradley Bernstein, Broad",embryonic,,,,,,,Homo sapiens,,,Joseph Bonventre,released,"Homo sapiens female embryo (5 days) nephron progenitor in vitro differentiated cells, preserved by cryopreservation",,ENCBS126KCT
258,ENCBS083CPL,41,year,41 years,tissue,ovary,,,,,,2017-05-24,,/biosamples/ENCBS083CPL/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens female adult (41 years) ovary tissue, preserved by cryopreservation",,
259,ENCBS083KRS,60,year,60 years,tissue,Right ventricle myocardium inferior,,,,,,2018-05-05,Inferior wall of right ventricle.,/biosamples/ENCBS083KRS/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens male adult (60 years) Right ventricle myocardium inferior tissue, preserved by cryopreservation",,
260,ENCBS083WOY,unknown,,,cell line,H1,,,,,,,H1 (WA01) embryonic stem cells provided by Cellular Dynamics and maintained on mTeSR medium.,/biosamples/ENCBS083WOY/,"Joseph Costello, UCSF",embryonic,,,,,,,Homo sapiens,,,Cellular Dynamics,released,Homo sapiens H1 cell line,,ENCBS479XUT
261,ENCBS084JJE,90 or above,year,90 or above years,tissue,head of caudate nucleus,,,,,,,,/biosamples/ENCBS084JJE/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (90 or above years) with mild cognitive impairment; head of caudate nucleus tissue,,
262,ENCBS084JLL,39,year,39 years,primary cell,"CD4-positive, alpha-beta T cell",,,,,,,untreated_8h,/biosamples/ENCBS084JLL/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Shelly Heimfeld,released,"Homo sapiens female adult (39 years) CD4-positive, alpha-beta T primary cell",,
263,ENCBS084NIJ,unknown,,,in vitro differentiated cells,mesendoderm,,,,,,,H1 cell line treated with 5ng/mL BMP4 and 25ng/mL Activin A in E8 medium for 2 days to differentiate them to mesendoderm cells. Original H1 cells were provided by the Thomson laboratory.,/biosamples/ENCBS084NIJ/,"Bing Ren, UCSD",embryonic,,,,,,,Homo sapiens,,,James Thomson,released,Homo sapiens male embryo mesendoderm in vitro differentiated cells originated from H1,,ENCBS573WAE
264,ENCBS084XDW,unknown,,,cell line,GM21360,,,,,2017-01-13,,"GM21360 LCLs; Donor from the Maasai in Kinyawa, Kenya (MKK)",/biosamples/ENCBS084XDW/,"Stephen Montgomery, Stanford",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens GM21360 cell line,,
265,ENCBS085ZEK,27,year,27 years,primary cell,T-cell,,,,,,,,/biosamples/ENCBS085ZEK/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,Homo sapiens male adult (27 years) T-cell primary cell,,
266,ENCBS086AXQ,54,year,54 years,tissue,suprapubic skin,,,,,,,,/biosamples/ENCBS086AXQ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens male adult (54 years) suprapubic skin tissue,,
267,ENCBS086EMA,90 or above,year,90 or above years,tissue,dorsolateral prefrontal cortex,,,,,,,,/biosamples/ENCBS086EMA/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (90 or above years) with mild cognitive impairment; dorsolateral prefrontal cortex tissue,,
268,ENCBS086KJH,38,year,38 years,primary cell,"stimulated activated CD4-positive, alpha-beta T cell","anti-CD3 and anti-CD28 coated beads,Interleukin-12 subunit alpha,Interleukin-12 subunit beta","activation,stimulation",,,,,,/biosamples/ENCBS086KJH/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (38 years) stimulated activated CD4-positive, alpha-beta T primary cell treated with anti-CD3 and anti-CD28 coated beads for 4 hours, 100 ng/mL Interleukin-12 subunit alpha for 4 hours, 100 ng/mL Interleukin-12 subunit beta for 4 hours",,
